dataset,condition,animal,session,layout,base_dir,data_dir,n_hc_channels,n_ms_tetrodes,n_samples,duration_sec,duration_min,signal_source,status,message
anast_mouse_data_msmodtSC,control,20170216,23,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,1,1,2020860,2020.86,33.681,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23/20170216_23_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,20171207,12,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,1,1,1809180,1809.18,30.153,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12/20171207_12_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801082,3,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,1,1,932112,932.112,15.5352,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3/201801082_3_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801101,34,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,1,1,1802736,1802.736,30.0456,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34/201801101_34_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801122,12,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,1,1,1800792,1800.792,30.0132,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12/201801122_12_radiatum.mat,ok,
anast_rat_data_msmodtSC,control,20100304,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1/raw,32,2,2144000,2144,35.7333333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1/raw/201003041_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201003171,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1/raw,32,3,2938000,2938,48.9666666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1/raw/201003171_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201003171,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2/raw,32,3,1963000,1963,32.7166666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2/raw/201003172_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1/raw,32,4,2274000,2274,37.9,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1/raw/201003291_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2/raw,32,4,1770000,1770,29.5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2/raw/201003292_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,4,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4/raw,32,3,1983000,1983,33.05,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4/raw/201003294_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1/raw,32,4,1825000,1825,30.4166666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1/raw/201006021_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,7,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7/raw,32,3,1035000,1035,17.25,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7/raw/201006027_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,8,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8/raw,32,4,899000,899,14.9833333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8/raw/201006028_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1/raw,32,4,1774000,1774,29.5666666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1/raw/201006161_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2/raw,32,4,2081000,2081,34.6833333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2/raw/201006162_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,5,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5/raw,32,4,1131000,1131,18.85,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5/raw/201006165_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201007286,6,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6/raw,32,3,1230000,1230,20.5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6/raw/201007286_1.eeg.1.mat,ok,
awake_mouse,control,20161695,1824,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,1,3,803300,803.3,13.3883333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824/201616951824_1.eeg.27.mat,ok,
awake_mouse,control,20161695,3135,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,1,4,869400,869.4,14.49,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135/201616953135_1.eeg.27.mat,ok,
awake_mouse,control,20161750,1417,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/1417,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/1417,1,4,1088400,1088.4,18.14,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/1417/201617501417_1.eeg.17.mat,ok,
awake_mouse,control,20161750,2125,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/2125,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/2125,1,4,1334000,1334,22.2333333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/2125/201617502125_1.eeg.15.mat,ok,
awake_mouse,control,20161750,3741,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/3741,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/3741,1,3,1330500,1330.5,22.175,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/3741/201617503741_1.eeg.17.mat,ok,
awake_mouse,control,20161750,5054,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5054,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5054,1,4,1404700,1404.7,23.4116666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5054/201617505054_1.eeg.15.mat,ok,
awake_mouse,control,20161750,5862,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5862,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5862,1,3,1273000,1273,21.2166666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161750/5862/201617505862_1.eeg.15.mat,ok,
awake_mouse,control,20161865,104105,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/104105,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/104105,1,4,2805300,2805.3,46.755,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/104105/20161865104105_1.eeg.31.mat,ok,
awake_mouse,control,20161865,106107,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/106107,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/106107,1,3,1496200,1496.2,24.9366666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/106107/20161865106107_1.eeg.31.mat,ok,
awake_mouse,control,20161865,110111,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/110111,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/110111,1,4,3194500,3194.5,53.2416666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161865/110111/20161865110111_1.eeg.31.mat,ok,
awake_mouse,control,20161869,1314,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/1314,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/1314,1,3,3306700,3306.7,55.1116666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/1314/201618691314_1.eeg.32.mat,ok,
awake_mouse,control,20161869,45,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/45,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/45,1,3,1834500,1834.5,30.575,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161869/45/2016186945_1.eeg.32.mat,ok,
awake_mouse,control,20161988,101102,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/101102,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/101102,1,4,3415500,3415.5,56.925,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/101102/20161988101102_1.eeg.12.mat,ok,
awake_mouse,control,20161988,183184,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/183184,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/183184,1,4,1302700,1302.7,21.7116666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/183184/20161988183184_1.eeg.12.mat,ok,
awake_mouse,control,20161988,191192,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/191192,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/191192,1,4,1671000,1671,27.85,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/191192/20161988191192_1.eeg.12.mat,ok,
awake_mouse,control,20161988,281282,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/281282,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/281282,1,2,886900,886.9,14.7816666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/281282/20161988281282_1.eeg.12.mat,ok,
awake_mouse,control,20161988,7778,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/7778,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/7778,1,4,2139600,2139.6,35.66,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161988/7778/201619887778_1.eeg.12.mat,ok,
awake_mouse,control,20161989,100101,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/100101,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/100101,1,3,1396300,1396.3,23.2716666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/100101/20161989100101_1.eeg.3.mat,ok,
awake_mouse,control,20161989,107108,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/107108,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/107108,1,2,837700,837.7,13.9616666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/107108/20161989107108_1.eeg.10.mat,ok,
awake_mouse,control,20161989,113114,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/113114,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/113114,1,3,2218100,2218.1,36.9683333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/113114/20161989113114_1.eeg.3.mat,ok,
awake_mouse,control,20161989,119120,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/119120,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/119120,1,2,1353500,1353.5,22.5583333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/119120/20161989119120_1.eeg.3.mat,ok,
awake_mouse,control,20161989,127128,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/127128,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/127128,1,3,1782700,1782.7,29.7116666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/127128/20161989127128_1.eeg.3.mat,ok,
awake_mouse,control,20161989,133134,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/133134,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/133134,1,3,1985900,1985.9,33.0983333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/133134/20161989133134_1.eeg.3.mat,ok,
awake_mouse,control,20161989,139140,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/139140,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/139140,1,3,1511100,1511.1,25.185,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/139140/20161989139140_1.eeg.3.mat,ok,
awake_mouse,control,20161989,145146,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/145146,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/145146,1,3,1870700,1870.7,31.1783333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/145146/20161989145146_1.eeg.3.mat,ok,
awake_mouse,control,20161989,151152,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/151152,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/151152,1,3,2369900,2369.9,39.4983333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/151152/20161989151152_1.eeg.3.mat,ok,
awake_mouse,control,20161989,157158,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/157158,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/157158,1,3,721100,721.1,12.0183333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/157158/20161989157158_1.eeg.3.mat,ok,
awake_mouse,control,20161989,163164,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/163164,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/163164,1,3,2473200,2473.2,41.22,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/163164/20161989163164_1.eeg.3.mat,ok,
awake_mouse,control,20161989,169170,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/169170,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/169170,1,3,599800,599.8,9.99666666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/169170/20161989169170_1.eeg.3.mat,ok,
awake_mouse,control,20161989,175176,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/175176,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/175176,1,3,1396500,1396.5,23.275,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/175176/20161989175176_1.eeg.10.mat,ok,
awake_mouse,control,20161989,177178,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/177178,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/177178,1,2,2746100,2746.1,45.7683333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161989/177178/20161989177178_1.eeg.10.mat,ok,
